S88001  CONNECTICUT      0061005000610769000011547000000129000000255000305782000316918000078179000077333000127590000177291000004488120480275000075619000028851000008445043501518102183341000185697000000019002682000000000685000000663000000022000000000000000000000000320000001368000000634000331184001341225001998698000038061000030598000000034000002261000003247000007288000008107000009511000000133000000017000000080000027472000000027000002021000002956000006659000007303000008374000000117000000015000001920000000005000000188000000220000000442000000472000000586000000005000000002000001206000000002000000052000000071000000187000000332000000551000000011000000000000030598002453541001642188000750456000891732000811353000646673000164680000121064003162628010959296000644295000497448018010075000000052000011473000413009000317451000767660000012286000137563001880421001009706000370733000038742000228791098386118000489125000145707004730907000004845-00000001-00000001-00000001-00000001000016444-00000001-00000001-00000001-00000001000015860000001079000015537000000028-00000001000070638000000879-00000001-00000001-00000001-00000001000004157-00000001000002254000000680-00000001000129992000398211-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000002431-00000001000022643-00000001-00000001-00000001000002047000004067-00000001000039172-00000001-00000001000003223000008325-00000001-00000001-00000001-00000001000003476000001722-00000001-000000010004927080000
C88001  FAIRFIELD        0061005000109827000002182000000011000000022000054291000057751000013784000013874000022898000031855000000745017702544000013198000004547000000645007627224014532142028426883000000003000400000000000071000000071000000000000000000000000000000000063000000300000000132000041749000133902000214500000002330000005368000000008000000557000000774000001620000001446000000960000000003000000000000000058000004994000000008000000522000000716000001528000001349000000869000000002000000000000000243000000000000000028000000046000000066000000054000000048000000001000000000000000131000000000000000007000000012000000026000000043000000043000000000000000000000005368000312728000219744000121687000098057000092984000065459000027525026642337000436990001705857000117195000061601003143302000000003000000068000010300000011500000024120000000444000016697000353493000194893000065656000013338038301115012591904000076338000050837000602977000000560-00000009-00000009-00000009-00000009000000543-00000009-00000009-00000009-00000009000002636000000198000002888000000004-00000009000012952000000231-00000009-00000009-00000009-00000009000000569-00000009000000280000000147-00000009000020893000069017-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000245-00000009000001963-00000009-00000009-00000009000000254000001325-00000009000015500-00000009-00000009000000633000000241-00000009-00000009-00000009-00000009000000301000000399-00000009-000000090000911490010
C88001  HARTFORD         0061005000123085000002232000000051000000014000061394000063988000015853000015649000025854000035217000000880027690534000014286000004978000001687008456684018501403034608909000000004000600000000000186000000167000000019000000000000000000000000060000000313000000125000084758000300670000489880000006314000005540000000006000000576000000754000001478000001347000001358000000018000000003000000068000005012000000006000000505000000692000001348000001211000001229000000018000000003000000295000000000000000051000000043000000081000000073000000047000000000000000000000000233000000000000000020000000019000000049000000063000000082000000000000000000000005540000377956000264724000125511000139213000113232000093569000019663026966875000742957002159502000153146000193763004224467000000000000000000000000000000032600000032600000000128000020447000337109000083261000086578000005233053101534028885195000122988000081992001543558000000650-00000009-00000009-00000009-00000009000001690-00000009-00000009-00000009-00000009000003771000000185000003766000000005-00000009000016832000000129-00000009-00000009-00000009-00000009000001062-00000009000000661000000125-00000009000028681000079472-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000487-00000009000006330-00000009-00000009-00000009000000563000000600-00000009000005091-00000009-00000009000000577000000623-00000009-00000009-00000009-00000009000000957000000462-00000009-000000090000967010030
C88001  LITCHFIELD       0061005000050978000001026000000000000000040000026012000026032000006496000006324000010343000015273000000413005988254000004126000000829000000542002190516005363539009433075000000008001297000000000139000000139000000000000000000000000000000000078000000148000000117000065974000471467000644911000018779000004756000000001000000243000000370000000821000001183000002099000000034000000005000000103000004284000000001000000223000000329000000754000001093000001850000000029000000005000000246000000000000000014000000032000000053000000046000000101000000000000000000000000226000000000000000006000000009000000014000000044000000148000000005000000000000004756000490248000336845000119364000217481000153403000121075000032328018238873000451786002140862000105805000025054003002674-00000001-00000001-00000001-00000001-00000001000002940000030128000301425000281028000058200000006580017110659008315655000038140000006405000265527000000760-00000009-00000009-00000009-00000009000000661-00000009-00000009-00000009-00000009000001143000000305000000603000000001-00000009000004100000000024-00000009-00000009-00000009-00000009000000153-00000009000000173000000071-00000009000007439000037008-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000112-00000009000002306-00000009-00000009-00000009000000058000000168-00000009000003971-00000009-00000009000000174000000097-00000009-00000009-00000009-00000009000000149000000060-00000009-000000090000446050050
C88001  MIDDLESEX        0061005000035204000000371000000007000000007000017480000018109000004262000004141000006980000010554000000267005871711000003490000000787000000400001750072003589772006979847-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000002344000000004000000191000000265000000641000000652000000582000000009000000000000000073000002181000000003000000173000000247000000594000000611000000545000000008000000000000000109000000000000000015000000015000000035000000025000000019000000000000000000000000054000000001000000003000000003000000012000000016000000018000000001000000000000002344000172146000107529000039803000067726000064617000057319000007298007473450000207339000682474000042150000054531001033761000000002000000228000010000000135502000147127000000149000007691000111777000030634000030743000007734011257080005084026000024510000006473000279580000000440-00000009-00000009-00000009-00000009000000216-00000009-00000009-00000009-00000009000000715000000028000000493000000002-00000009000003401000000023-00000009-00000009-00000009-00000009000000246-00000009000000683000000020-00000009000005979000026244-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000118-00000009000000674-00000009-00000009-00000009000000098000000176-00000009000001390-00000009-00000009000000179000000139-00000009-00000009-00000009-00000009000000185000000068-00000009-000000090000296100070
C88001  NEW HAVEN        0061005000152952000003513000000044000000014000077884000078639000019639000019359000034617000045094000001174030275692000024703000009511000001508015074297033416360059536504000000002000285000000000196000000196000000000000000000000000000000000057000000294000000140000095190000315508000471370000006922000003932000000001000000291000000460000001089000001069000001008000000014000000000000000071000003581000000000000000247000000429000000981000000981000000930000000013000000000000000252000000001000000037000000025000000081000000055000000052000000001000000000000000099000000000000000007000000006000000027000000033000000026000000000000000000000003932000277262000184394000079906000104488000092868000072780000020088015928747000430124001289052000091408000076756002416763000000034000004486000128000000030660000165326000001348000013549000232379000076164000078256000004659063898975024289381000132285000000000001296885000000650-00000009-00000009-00000009-00000009000002149-00000009-00000009-00000009-00000009000004689000000296000005552000000007-00000009000021914000000436-00000009-00000009-00000009-00000009000001134-00000009000000273000000208-00000009000037321000097232-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000763-00000009000004713-00000009-00000009-00000009000000503000001346-00000009000009243-00000009-00000009000001135000000474-00000009-00000009-00000009-00000009000000850000000441-00000009-000000090001192020090
C88001  NEW LONDON       0061005000071511000001480000000014000000147000035706000037446000009282000009338000014376000020590000000508013330800000007621000002885000001287003969101010627184018782130000000002000100000000000093000000090000000003000000000000000000000000062000000313000000120000043513000119678000178037000003716000003273000000008000000117000000247000000587000000885000001394000000030000000005000000099000002669000000006000000097000000210000000498000000721000001108000000026000000003000000377000000001000000015000000023000000060000000104000000171000000001000000002000000227000000001000000005000000014000000029000000060000000115000000003000000000000003273000325494000201786000099178000102608000123708000088447000035261010974639000394783001265667000064726000038247001685032000000013000006691000264709000107189000398487000001987000012201000244943000146321000015587000000430026716870012197799000058372000000000000472252000000780-00000009-00000009-00000009-00000009000003588-00000009-00000009-00000009-00000009000001441000000042000000842000000009-00000009000007033000000021-00000009-00000009-00000009-00000009000000721-00000009000000096000000043-00000009000014230000049046-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000358-00000009000001903-00000009-00000009-00000009000000275000000303-00000009000002469-00000009-00000009000000282000002927-00000009-00000009-00000009-00000009000000338000000223-00000009-000000090000589220110
C88001  TOLLAND          0061005000023913000000195000000000000000004000011809000012303000003061000002949000004485000006924000000213005593765000003406000002018000000733001826206008201538013907573-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000002234000000003000000076000000143000000408000000750000000843000000010000000001000000093000002018000000001000000068000000128000000380000000668000000763000000009000000001000000113000000002000000007000000011000000017000000047000000029000000000000000000000000103000000000000000001000000004000000011000000035000000051000000001000000000000002234000206924000137033000064970000072063000069891000060741000009150005900842000228493000708685000028934000023672001094451-00000001-00000001-00000001-00000001-00000001000000803000015915000117472000055562000018434000000542005895199002422828000010833000000000000119586000000375-00000009-00000009-00000009-00000009000000784-00000009-00000009-00000009-00000009000000818000000008000001265000000000-00000009000001561000000011-00000009-00000009-00000009-00000009000000103-00000009000000028000000062-00000009000004714000015392-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000094-00000009000001972-00000009-00000009-00000009000000090000000060-00000009000000706-00000009-00000009000000094000000518-00000009-00000009-00000009-00000009000000282000000011-00000009-000000090000193980130
C88001  WINDHAM          0061005000043299000000548000000002000000007000021206000022650000005802000005699000008037000011784000000288014026975000004789000003296000001643002607418007951403014022290-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000003151000000003000000210000000234000000644000000775000001267000000015000000003000000092000002733000000002000000186000000205000000576000000669000001080000000012000000003000000285000000001000000021000000025000000049000000068000000119000000002000000000000000133000000000000000003000000004000000019000000038000000068000000001000000000000003151000290783000190133000100037000090096000100650000087283000013367008938147000270156001007197000040931000023824001409625-00000001-00000001-00000001-00000001-00000001000004487000020935000181823000141843000017279000000226012509835004599330000025659000000000000150542000000630-00000009-00000009-00000009-00000009000006813-00000009-00000009-00000009-00000009000000647000000017000000128000000000-00000009000002845000000004-00000009-00000009-00000009-00000009000000169-00000009000000060000000004-00000009000010735000024800-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000254-00000009000002782-00000009-00000009-00000009000000206000000089-00000009000000802-00000009-00000009000000149000003306-00000009-00000009-00000009-00000009000000414000000058-00000009-000000090000331210150
C88002  ANDROSCOGGIN     0061005000044967000000075000000000000000000000021296000023746000005465000005572000008855000012340000000253012009562000005065000004394000000745003033897008714373014789963-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000002981000000000000000108000000192000000551000001153000000973000000003000000001000000082000002842000000000000000097000000183000000524000001099000000935000000003000000001000000079000000000000000011000000007000000015000000024000000022000000000000000000000000060000000000000000000000000002000000012000000030000000016000000000000000000000002981000244781000159937000081058000078879000084844000069900000014944006119332000286974000798415000032756000010723001207634-00000001-00000001-00000001-00000001-00000001000009057000002074000079778000099523000001152000014795017265353003511620000093599000028000000352562000000475-00000009-00000009-00000009-00000009000005403-00000009-00000009-00000009000000002000000719000000003000000192000000000-00000009000001708000000000-00000009-00000009-00000009-00000009000000169-00000009000000010-00000009-00000009000008235000034517-00000009-00000009000000010000000057-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000916-00000009-00000009-00000009000000604-00000009-00000009000000146-00000009000000014000000037000000110-00000009-00000009-00000009-00000009000000209-00000009-00000009-000000090000368070010
C88002  AROOSTOOK        0061005000041649000000040000000000000000011000022136000019564000006954000006469000008636000010593000000270000941460000001001000000022000000003000190615001100175001744052-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000005802000000003000000041000000059000000571000001764000003308000000045000000011000000125000005599000000003000000037000000055000000543000001679000003227000000044000000011000000127000000000000000002000000001000000022000000060000000042000000000000000000000000076000000000000000002000000003000000006000000025000000039000000001000000000000005802000723840000270442000218604000051838000453398000433847000019551005151151000348179001164090000052474000006672001826348000000000000000000000000000000000000000002000000015777000296793000000382000628435000010894000138236006223795001341137000034120000016000000116599000007200-00000009-00000009-00000009-00000009000007965-00000009-00000009-00000009000000033000000101000000001000000023000000000-00000009000000575000000000-00000009-00000009-00000009-00000009000000075-00000009000000597-00000009-00000009000009381000031701-00000009-00000009000000000000000008-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000211-00000009-00000009-00000009000000196-00000009-00000009000000039-00000009000000003000000014000000014-00000009-00000009-00000009-00000009000000076-00000009-00000009-000000090000323190030
