C87002  CUMBERLAND       0045002000082021000081503000000517000000000000000001000072182000009839000016598000015795000015500000014697000072182000068047-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001950-00000009-00000009000000968-00000009-00000009000000339-00000009-00000009-00000009000000086-00000009-00000009000000211-00000009-00000009000009839-00000009-00000009-00000009-00000009-00000009-00000009000003471-00000009-00000009000000069000001049000000031000000112000000000-00000009000004589000000008-00000009-00000009000000041-00000009000000281-00000009000000058-00000009000000027000019387000018635000000752000010052000009294000000029000000012000002175000002688000000365000002323000000094000000101000000094000000136000000883000001332000000004000000002000000006000000005000000018000000013000082021000040009000042012000010783000010537000015952000022484000019144000249617000135917000024768013029330000483424000283190003016347000090330000100142000117500000022076000428599002014435000005931000000044000000606000000853000002326000001673000000425000000004000000000000000676000006870000004910000001495000000465006121547002634692010905522016557581047008189000084068001151658000293852000086546000771260000072500002706011000000037000011800000000000000000000000000038000020030000000004000002300-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000031000010615-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000003000003250000000003000000400-00000009-00000009-00000009-000000090000000110000041500000001380000001290000589450015311130050
C87002  FRANKLIN         0045002000018807000018796000000010000000000000000001000018511000000296000000558000000462000000460000000364000018511000017322-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000663-00000009-00000009000000361-00000009-00000009000000023-00000009-00000009-00000009000000012-00000009-00000009000000051-00000009-00000009000000296-00000009-00000009-00000009-00000009-00000009-00000009000000210-00000009-00000009000000000000000032000000003000000000000000000-00000009000000045000000000-00000009-00000009000000000-00000009000000003-00000009000000000-00000009000000000000004883000004862000000021000002603000002279000000001000000000000000149000000226000000143000000083000000017000000011000000024000000007000000098000000069000000000000000000000000000000000000000000000000000000000018807000009434000009373000002694000002527000003410000005176000005021000213913000159954000016253004866019000229982000179924001820510000077008000002449000055580000026293000300796001525040000002855000000023000000099000000170000000634000001081000000845000000003000000000000000196000000643000000595000000040000000008000399337000121316000361056000713317003994278000008057000137515000034795000009278000093442000001854000087629000000022000002645000000000000000000000000010000002175000000000000000000-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000017000004450-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000000000000000000000000000000000-00000009-00000009-00000009-000000090000000030000002000000000530000000410000119500001216900070
C87002  HANCOCK          0045002000036495000036444000000049000000001000000001000035547000000948000002497000002239000001773000001515000035547000034983-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000313-00000009-00000009000000116-00000009-00000009000000041-00000009-00000009-00000009000000009-00000009-00000009000000009-00000009-00000009000000948-00000009-00000009-00000009-00000009-00000009-00000009000000395-00000009-00000009000000001000000092000000008000000044000000000-00000009000000334000000002-00000009-00000009000000003-00000009000000033-00000009000000004-00000009000000003000010106000010073000000033000005290000004808000000005000000003000000241000000401000000262000000139000000020000000010000000019000000020000000166000000141000000001000000000000000002000000003000000011000000008000036495000018653000017842000005610000005280000007081000009698000009055000103536000073912000080483003032269000122743000090102001208946000010617000017777000077044000025428000130815000802934000002891000000004000000201000000579000001396000000576000000134000000001000000000000000278000001751000001616000000126000000009001111676000488739000998860002069885009071720000012059000217387000045408000010725000161254000000000000140086000000027000005375000000000000000000000000015000004620000000000000000000-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000027000004910-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000001000000400000000000000000000-00000009-00000009-00000009-000000090000000010000002600000000740000000600000174750001922500090
C87002  KENNEBEC         0045002000053203000053019000000184000000000000000000000050914000002289000004277000003996000003773000003492000050914000048207-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001343-00000009-00000009000000672-00000009-00000009000000208-00000009-00000009-00000009000000054-00000009-00000009000000118-00000009-00000009000002289-00000009-00000009-00000009-00000009-00000009-00000009000000936-00000009-00000009000000000000000214000000012000000059000000000-00000009000000986000000000-00000009-00000009000000002-00000009000000054-00000009000000008-00000009000000002000012424000012325000000099000006545000005858000000014000000007000000878000001178000000641000000537000000108000000063000000073000000067000000438000000406000000003000000000000000002000000000000000009000000009000053203000026399000026804000006844000006513000010161000015354000014815000289994000134993000037214012076918000534484000286929003497195000122516000014399000141689000021094000571278002373079000005757000000011000000282000000614000002170000002131000000547000000002000000000000000470000003932000002947000000923000000062003947135001290924003867051007006204020694918000031079000471155000126144000029988000315023000000070000751633000000044000012940000000005000000250000000012000005000000000003000001175-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000033000010860-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000001000000500000000001-00000009-00000009-00000009-00000009-000000090000000110000037300000001280000001140000404550004995500110
C87002  KNOX             0045002000030823000030707000000116000000000000000000000029745000001078000001943000001750000001665000001472000029745000029036-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000343-00000009-00000009000000106-00000009-00000009000000062-00000009-00000009-00000009000000020-00000009-00000009000000014-00000009-00000009000001078-00000009-00000009-00000009-00000009-00000009-00000009000000351-00000009-00000009000000004000000117000000008000000012000000000-00000009000000499000000010-00000009-00000009000000005-00000009000000037-00000009000000012-00000009000000001000007803000007774000000029000003940000003830000000014000000019000000334000000505000000320000000185000000039000000019000000021000000010000000227000000184000000000000000000000000000000000001000000003000000001000030823000015584000015239000004152000004231000006427000008778000007886000072987000039542000019916003189378000147572000101720000981377000020601000003740000045884000022904000143960000685852000001827000000005000000136000000231000000850000000520000000085000000000000000000000000244000002340000002149000000137000000054001920265000672379002216084003532344010106670000015122000253489000063121000011224000179144000009259000528138000000022000008690000000000000000000000000007000002300000000004000001150-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000007000002450-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000001000000350000000002-00000009-00000009-00000009-00000009-000000090000000020000003500000000490000000460000166400002085500130
C87002  LINCOLN          0045002000025597000025531000000058000000000000000008000024973000000624000001499000001269000001081000000851000024973000024453-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000262-00000009-00000009000000076-00000009-00000009000000029-00000009-00000009-00000009000000035-00000009-00000009000000022-00000009-00000009000000624-00000009-00000009-00000009-00000009-00000009-00000009000000276-00000009-00000009000000007000000077000000008000000009000000000-00000009000000198000000004-00000009-00000009000000003-00000009000000023-00000009000000005-00000009000000002000007121000007093000000028000003719000003392000000006000000004000000240000000490000000419000000071000000040000000055000000039000000018000000185000000143000000000000000001000000001000000000000000002000000005000025597000012851000012746000003608000003454000004624000007076000006844000109738000066057000043024004489419000205677000077199001308362000017423000016601000082694000011292000153550000929996000003197000000034000000455000000608000001191000000771000000138000000000000000000000000309000001332000001246000000062000000024000587280000184781000510593001018705005426063000009719000172138000041205000008576000122357000000000000360306000000019000004865000000000000000000000000011000003565000000002000000650-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000017000006175-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000002000001000000000001-00000009-00000009-00000009-00000009-000000090000000010000003250000000570000000500000178300001536500150
S87002  MAINE            0045002000626915000624809000001606000000001000000499000578034000048881000091651000084381000081128000073858000578034000550629-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001-00000001000011139-00000001-00000001000009753-00000001-00000001000001450-00000001-00000001-00000001000000473-00000001-00000001000001264-00000001-00000001000048881-00000001-00000001-00000001-00000001-00000001-00000001000026788-00000001-00000001000000102000003929000000137000000508000000000-00000001000015745000000048-00000001-00000001000000072-00000001000000998-00000001000000149-00000001000000062000155140000152106000003034000080630000074314000000109000000077000013486000019052000007986000011066000001782000001368000001247000001186000006516000006775000000013000000003000000017000000014000000069000000057000626915000313103000313812000089233000086355000118940000169821000153160002917793002224740000695525102961951004809113002903292033470044000874569000266397001531741000450988004939071023357129000059804000000232000003604000006979000022889000019781000006299000000020000000000000005550000049180000034310000013448000001422039796190014282205049379757079497521204253780000348156005348645001350305000320199003683141000274153008282571000000480000117189000000044000004922000000231000083985000000025000008975-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000327000082530-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000032000017822000000028000003175-00000009-00000009-00000009-000000090000000840000239100000013260000011020003760380051968520000
C87002  OXFORD           0045002000033488000033465000000023000000000000000000000032920000000568000000895000000757000000782000000644000032920000030194-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000908-00000009-00000009000001402-00000009-00000009000000077-00000009-00000009-00000009000000022-00000009-00000009000000163-00000009-00000009000000568-00000009-00000009-00000009-00000009-00000009-00000009000000240-00000009-00000009000000000000000184000000005000000007000000000-00000009000000109000000003-00000009-00000009000000000-00000009000000011-00000009000000000-00000009000000000000009827000009785000000042000005152000004671000000004000000000000000192000000463000000382000000081000000092000000060000000029000000009000000156000000115000000000000000000000000001000000000000000001000000000000033488000016845000016643000004783000004680000006022000009269000008843000273389000271264000051321007570084000305886000211862002609766000101082000003625000080913000027275000417130002033740000004864000000014000000158000000397000001687000001892000000714000000002000000000000000325000001493000001125000000342000000026000850247000252721001512963002213719008566842000013926000231470000059448000008791000163231000000250000243670000000027000006105000000002000000260000000020000005560000000000000000000-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000027000004885-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000000000000000000000002-00000009-00000009-00000009-00000009-000000090000000150000036750000000950000000770000215850001801000170
C87002  PENOBSCOT        0045002000075150000074581000000108000000000000000461000068183000006967000014104000013419000012756000012071000068183000064636-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000001075-00000009-00000009000001358-00000009-00000009000000186-00000009-00000009-00000009000000052-00000009-00000009000000144-00000009-00000009000006967-00000009-00000009-00000009-00000009-00000009-00000009000003354-00000009-00000009000000004000000307000000023000000059000000000-00000009000003064000000003-00000009-00000009000000008-00000009000000109-00000009000000008-00000009000000004000019673000019290000000383000010195000009463000000005000000010000001814000002237000000461000001776000000099000000056000000118000000087000000984000000885000000000000000000000000001000000002000000004000000001000075150000038527000036623000010800000010471000015539000020905000018473000297263000243661000113343010324213000541872000333775003880532000080126000016982000125320000048620000610108002608451000006336000000014000000289000000699000002730000002077000000525000000002000000000000000856000005975000005213000000722000000040004658390001802592006738435010556944020607586000031688000602127000136349000030696000435082000000000000448493000000041000008480000000009000000350000000020000007065000000004000001350-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000028000007675-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000003000001822000000004000000150-00000009-00000009-00000009-000000090000000120000028750000001240000000890000320920005399500190
C87002  PISCATAQUIS      0045002000014403000014328000000054000000000000000021000013942000000461000000929000000836000000742000000649000013942000013302-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000194-00000009-00000009000000291-00000009-00000009000000028-00000009-00000009-00000009000000003-00000009-00000009000000042-00000009-00000009000000461-00000009-00000009-00000009-00000009-00000009-00000009000000306-00000009-00000009000000000000000104000000002000000013000000000-00000009000000026000000000-00000009-00000009000000000-00000009000000008-00000009000000000-00000009000000000000004231000004216000000015000002178000002033000000005000000005000000132000000265000000193000000072000000032000000009000000028000000017000000093000000055000000003000000000000000000000000001000000013000000010000014403000007394000007009000002138000002047000002773000003970000003773000110726000130105000029149002940458000248838000077243001266909000028649000002098000124390000022225000172922000904124000001952000000000000000017000000107000000714000000862000000252000000000000000000000000129000000539000000419000000118000000002000816325000139688000488486000759295003572040000006545000148699000029096000004183000115420000000000000166203000000014000001965000000000000000000000000007000001950000000000000000000-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000007000001010-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009-00000009000000000000000000000000000000000000-00000009-00000009-00000009-000000090000000000000000000000000320000000220000064000000397000210
