"","City","Year","TotalArrests","Drunkenness","PersonalConditions","Homicides","Dismissed","TotalPolice","ActivePolice","Lodgers","Population"
"337","Chicago, Illinois",1881,31713,15971,1568,16,11173,506,394,12815,562852
"338","Boston, Massachusetts",1881,28521,18791,1337,7,NA,752,604,26856,371403
"339","St. Louis, Missouri",1881,15443,6338,1213,17,NA,NA,401,NA,360643
"340","Baltimore, Maryland",1881,24717,15155,697,24,7112,594,500,13543,342526
"341","Cincinnati, Ohio",1881,13192,3248,6264,23,NA,351,256,29056,259316
"342","San Francisco, California",1881,23011,11731,274,34,NA,400,NA,NA,240463
"343","Cleveland, Ohio",1881,7465,NA,NA,NA,NA,168,NA,1504,170267
"344","Buffalo, New York",1881,9086,4784,984,6,598,206,128,3240,165187
"345","Washington, DC",1881,13942,5387,1480,9,6839,238,175,3930,151457
"346","Newark, New Jersey",1881,5726,2413,392,3,1152,164,147,16044,140960
"347","Louisville, Kentucky",1881,6420,2914,NA,NA,NA,155,NA,NA,127495
"348","Detroit, Michigan",1881,4610,2701,317,17,852,185,146,5945,125294
"349","Providence, Rhode Island",1881,7741,5700,783,1,2318,172,NA,NA,107586
"350","Rochester, New York",1881,NA,NA,NA,NA,NA,NA,NA,NA,93819
"351","Richmond, Virginia",1881,4313,1432,152,7,NA,84,66,431,65379
"352","New Haven, Connecticut",1881,4848,3456,NA,3,NA,80,72,1095,65198
"353","Lowell, Massachusetts",1881,3144,1982,185,1,NA,71,66,880,61297
"354","New York, New York",1882,67729,42491,5817,117,NA,NA,NA,NA,1268100
"355","Philadelphia, Pennsylvania",1882,46130,33848,3677,25,NA,1351,1200,78627,887129
"356","Brooklyn, New York",1882,27610,13413,1989,25,6132,643,498,20407,614599
"357","Chicago, Illinois",1882,32800,18036,1514,9,10743,557,380,10160,622518
"358","Boston, Massachusetts",1882,30777,18602,1506,11,NA,755,614,NA,379967
"359","St. Louis, Missouri",1882,18555,7117,1445,22,NA,495,362,NA,370768
"360","Baltimore, Maryland",1882,23902,14520,523,20,7453,NA,NA,11044,352738
"361","Cincinnati, Ohio",1882,15539,3355,6320,18,NA,350,241,25375,263493
"362","San Francisco, California",1882,25969,11666,288,38,NA,400,NA,NA,246967
"363","Cleveland, Ohio",1882,6741,3908,260,2,603,175,137,2200,180387
"364","Buffalo, New York",1882,10258,5619,1203,7,729,229,154,4578,175240
"365","Washington, DC",1882,14552,5750,999,10,6698,238,175,3627,155621
"366","Newark, New Jersey",1882,5715,2926,626,1,1167,164,147,14467,145412
"367","Louisville, Kentucky",1882,7466,4482,244,43,NA,155,NA,NA,131232
"368","Detroit, Michigan",1882,5148,3273,362,8,889,194,153,2840,134247
"369","Providence, Rhode Island",1882,7033,5308,473,3,1944,178,NA,1829,110315
"370","Rochester, New York",1882,NA,NA,NA,NA,NA,NA,NA,NA,98272
"371","Richmond, Virginia",1882,4762,1638,118,1,NA,84,66,455,67158
"372","New Haven, Connecticut",1882,5642,3984,130,0,NA,77,73,1492,67515
"373","Lowell, Massachusetts",1882,2849,1950,35,2,NA,57,52,1276,63119
"374","New York, New York",1883,70701,43872,6020,NA,NA,NA,NA,NA,1299000
"375","Philadelphia, Pennsylvania",1883,45612,32618,4291,42,NA,1415,1250,84352,907108
"376","Brooklyn, New York",1883,26819,NA,NA,NA,NA,686,NA,NA,638567
"377","Chicago, Illinois",1883,37187,21415,1238,5,13661,637,426,16366,682184
"378","Boston, Massachusetts",1883,30677,19322,1792,10,NA,779,642,17722,388530
"379","St. Louis, Missouri",1883,18312,3816,4089,30,NA,448,401,NA,380894
"380","Baltimore, Maryland",1883,24355,15014,724,25,8415,620,525,17989,362951
"381","Cincinnati, Ohio",1883,13255,2985,6621,27,NA,351,249,29328,267670
"382","San Francisco, California",1883,24149,11642,572,45,NA,400,NA,NA,253470
"383","Cleveland, Ohio",1883,7254,4347,299,4,591,206,164,4494,190508
"384","Buffalo, New York",1883,9349,4596,1212,7,518,273,166,5378,185293
"385","Washington, DC",1883,15607,5104,1044,10,6862,232,163,1978,159785
"386","Newark, New Jersey",1883,5504,2151,484,2,1094,164,147,17596,149865
"387","Louisville, Kentucky",1883,8746,NA,NA,NA,NA,155,NA,NA,134969
"388","Detroit, Michigan",1883,6322,4221,430,3,1970,193,150,2117,143201
"389","Milwaukee, Wisconsin",1883,3667,2107,NA,6,428,90,NA,NA,142251
"390","Providence, Rhode Island",1883,6527,4883,472,0,1591,184,NA,2454,113044
"391","Rochester, New York",1883,NA,NA,NA,NA,NA,NA,NA,NA,102725
"392","Richmond, Virginia",1883,4566,1584,127,1,NA,84,65,709,68936
"393","New Haven, Connecticut",1883,5789,4171,159,4,NA,76,66,2204,69831
"394","Lowell, Massachusetts",1883,3257,1775,181,0,NA,67,59,1952,64941
"395","New York, New York",1884,70254,NA,NA,81,NA,2832,2506,NA,1329900
"396","Philadelphia, Pennsylvania",1884,46767,36081,4260,24,NA,1428,1157,105312,927088
"397","Brooklyn, New York",1884,26119,12494,1604,30,NA,718,574,23640,662535
"398","Chicago, Illinois",1884,39434,23080,1210,10,13775,924,NA,25141,741851
"399","Boston, Massachusetts",1884,31200,19497,1402,10,NA,779,638,24164,397094
"400","St. Louis, Missouri",1884,19208,9980,1966,19,NA,483,401,NA,391019
"401","Baltimore, Maryland",1884,26177,16732,713,21,8047,631,525,25034,373163
"402","Cincinnati, Ohio",1884,12774,3040,6094,22,NA,351,274,33076,271847
"403","San Francisco, California",1884,25591,11738,516,44,NA,400,NA,NA,259974
"404","Cleveland, Ohio",1884,7271,3839,520,16,579,211,167,NA,200629
"405","Buffalo, New York",1884,10588,5104,1939,7,742,292,175,3432,195346
"406","Washington, DC",1884,17934,6307,1732,12,7586,247,186,4550,163949
"407","Newark, New Jersey",1884,5293,2663,504,0,1470,165,148,22578,154317
"408","Louisville, Kentucky",1884,8176,NA,NA,NA,NA,155,NA,NA,138706
"409","Detroit, Michigan",1884,7419,4471,647,4,1292,228,171,2660,152154
"410","Milwaukee, Wisconsin",1884,3237,2143,NA,2,NA,90,NA,NA,151139
"411","Providence, Rhode Island",1884,6422,4671,502,1,1195,185,138,2737,115773
"412","Rochester, New York",1884,NA,NA,NA,NA,NA,NA,NA,NA,107178
"413","Richmond, Virginia",1884,4625,1626,152,2,NA,84,63,1127,70715
"414","New Haven, Connecticut",1884,5976,4185,287,0,NA,87,77,2986,72147
"415","Lowell, Massachusetts",1884,3332,2301,204,0,NA,71,64,2675,66763
"416","New York, New York",1885,74315,43060,5427,93,NA,2889,2573,134345,1360800
"417","Philadelphia, Pennsylvania",1885,51418,36672,4091,36,NA,1456,1157,121404,947067
"418","Brooklyn, New York",1885,27391,13130,1593,40,7166,758,602,26881,686503
"419","Chicago, Illinois",1885,40998,25407,1272,6,15098,926,653,54940,801518
"420","Boston, Massachusetts",1885,28932,18319,1403,18,NA,789,640,25793,405658
"421","St. Louis, Missouri",1885,19330,8728,1123,18,NA,525,440,NA,401144
"422","Baltimore, Maryland",1885,26804,17981,924,NA,7212,631,525,27888,383376
"423","Cincinnati, Ohio",1885,8039,3240,NA,21,NA,356,280,37642,276024
"424","San Francisco, California",1885,24434,10922,792,40,7836,400,NA,NA,266478
"425","Cleveland, Ohio",1885,6882,3205,495,6,NA,214,169,NA,210750
"426","Buffalo, New York",1885,10980,5462,2083,3,321,304,189,3856,205399
"427","Washington, DC",1885,23225,6433,1750,11,10130,262,202,6129,168172
"428","Newark, New Jersey",1885,5263,2541,515,3,1088,164,147,32933,158769
"429","Louisville, Kentucky",1885,7497,NA,NA,NA,NA,NA,NA,NA,142443
"430","Detroit, Michigan",1885,7708,3866,962,4,1249,230,174,7405,161108
"431","Milwaukee, Wisconsin",1885,3597,2347,350,2,441,93,73,3910,160027
"432","Providence, Rhode Island",1885,6178,4566,365,1,1501,196,154,2867,118502
"433","Rochester, New York",1885,NA,NA,NA,NA,NA,NA,NA,NA,111631
"434","Richmond, Virginia",1885,4634,1575,262,2,NA,84,63,1010,72494
"435","New Haven, Connecticut",1885,5642,4095,197,1,NA,91,75,3545,74464
"436","Lowell, Massachusetts",1885,2771,1690,199,2,NA,71,62,3393,68585
"437","New York, New York",1886,73928,44071,5518,84,NA,3216,2899,131503,1391700
"438","Philadelphia, Pennsylvania",1886,NA,NA,NA,NA,NA,NA,NA,NA,967046
"439","Brooklyn, New York",1886,25709,12994,NA,NA,NA,872,NA,24208,710471
"440","Chicago, Illinois",1886,44261,NA,NA,29,NA,1032,NA,91084,NA
"441","Boston, Massachusetts",1886,28510,17404,1261,23,NA,819,NA,NA,414222
"442","St. Louis, Missouri",1886,18851,8926,477,NA,NA,NA,440,NA,411270
"443","Baltimore, Maryland",1886,27200,NA,NA,NA,NA,725,NA,NA,393589
"444","Cincinnati, Ohio",1886,17660,3225,6624,22,NA,361,256,39846,280200
"445","San Francisco, California",1886,26587,10233,885,33,8831,406,NA,NA,272882
"446","Cleveland, Ohio",1886,6732,3858,269,6,493,213,169,NA,220870
"447","Buffalo, New York",1886,9544,4532,1528,7,487,304,185,4199,215452
"448","Washington, DC",1886,22388,7560,3736,15,8446,267,195,5033,172276
"449","Newark, New Jersey",1886,5366,2893,393,10,1226,200,152,13395,163221
"450","Louisville, Kentucky",1886,6893,4968,299,18,NA,156,121,NA,146180
"451","Detroit, Michigan",1886,8187,5124,703,5,1503,267,215,2208,170062
"452","Milwaukee, Wisconsin",1886,3726,2483,349,1,346,152,123,3327,168915
"453","Providence, Rhode Island",1886,5337,3765,323,2,826,200,156,2799,121230
"454","Rochester, New York",1886,NA,NA,NA,NA,NA,NA,NA,NA,116084
"455","Richmond, Virginia",1886,5052,1733,263,0,NA,92,NA,375,74273
"456","New Haven, Connecticut",1886,5802,4257,238,3,NA,92,76,3911,76780
"457","Lowell, Massachusetts",1886,3393,2273,150,1,NA,70,62,3313,70407
"458","New York, New York",1887,81176,47258,5603,98,NA,3208,2940,128635,1422600
"459","Philadelphia, Pennsylvania",1887,57944,42207,3219,72,NA,1513,1270,13262,987026
"460","Brooklyn, New York",1887,28567,14030,NA,NA,NA,985,707,20998,734439
"461","Chicago, Illinois",1887,46505,NA,NA,29,NA,1145,1026,23405,920850
"462","Boston, Massachusetts",1887,30681,19927,1283,9,2962,851,649,NA,422786
"463","St. Louis, Missouri",1887,19046,8469,674,28,NA,596,440,6524,421395
"464","Baltimore, Maryland",1887,29538,NA,NA,NA,NA,771,640,NA,403801
"465","Cincinnati, Ohio",1887,19554,5959,7095,14,NA,478,336,6103,284377
"466","San Francisco, California",1887,20385,19368,693,60,8695,406,336,NA,279486
"467","New Orleans, Louisiana",1887,16800,NA,NA,NA,NA,294,225,NA,228522
"468","Cleveland, Ohio",1887,8588,5294,295,9,NA,235,182,NA,230991
"469","Buffalo, New York",1887,12404,NA,NA,NA,NA,340,200,NA,225505
"470","Washington, DC",1887,19975,7338,1756,3,8451,277,255,4198,176440
"471","Newark, New Jersey",1887,6294,3595,443,7,1668,182,133,1328,167673
"472","Louisville, Kentucky",1887,6857,5038,259,14,NA,156,121,NA,149917
"473","Detroit, Michigan",1887,9400,6160,907,4,1313,299,243,26,179015
"474","Milwaukee, Wisconsin",1887,3726,NA,NA,NA,NA,179,148,NA,177803
"475","Providence, Rhode Island",1887,5151,3739,437,4,613,198,156,2349,123959
"476","Rochester, New York",1887,4014,NA,NA,NA,NA,124,94,NA,120537
"477","Pittsburgh, Pennsylvania",1887,9572,NA,NA,NA,NA,250,165,NA,213948
"478","Richmond, Virginia",1887,5963,2034,533,1,NA,100,79,336,76052
"479","New Haven, Connecticut",1887,5941,4448,157,0,NA,107,75,NA,79096
"480","Lowell, Massachusetts",1887,3484,2525,141,0,NA,71,65,2435,72229
"481","New York, New York",1888,85094,47883,6649,108,NA,3351,3015,150812,1453500
"482","Philadelphia, Pennsylvania",1888,46899,31835,3089,50,NA,1671,1400,15969,1007005
"483","Brooklyn, New York",1888,31124,16003,NA,NA,NA,1074,NA,17270,758407
"484","Chicago, Illinois",1888,50432,NA,NA,28,15348,1255,NA,25054,980517
"485","Boston, Massachusetts",1888,36009,23403,1930,25,NA,901,NA,NA,431349
"486","St. Louis, Missouri",1888,17938,9640,841,27,NA,592,440,13142,431521
"487","Baltimore, Maryland",1888,29789,NA,NA,NA,NA,800,NA,NA,414014
"488","Cincinnati, Ohio",1888,19889,4834,5639,14,NA,488,349,9774,288554
"489","San Francisco, California",1888,19466,10508,505,47,8279,406,336,NA,285989
"490","New Orleans, Louisiana",1888,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Cleveland, Ohio",1888,8737,5573,215,11,800,241,182,NA,241112
"492","Buffalo, New York",1888,NA,NA,NA,NA,NA,340,200,NA,235558
"493","Washington, DC",1888,20530,6915,2672,15,7193,287,255,5727,180604
"494","Newark, New Jersey",1888,NA,NA,NA,NA,NA,NA,NA,NA,1172156
"495","Louisville, Kentucky",1888,4193,3093,178,17,NA,191,147,NA,153654
"496","Detroit, Michigan",1888,9142,5396,1221,5,1540,310,246,452,187969
"497","Milwaukee, Wisconsin",1888,4401,3135,414,7,444,178,140,NA,186691
"498","Providence, Rhode Island",1888,5930,4116,282,3,1158,206,158,2864,126688
"499","Rochester, New York",1888,NA,NA,NA,NA,NA,NA,NA,NA,124990
"500","Pittsburgh, Pennsylvania",1888,10423,8084,1901,8,2353,253,147,NA,222171
"501","Richmond, Virginia",1888,6290,2225,440,4,NA,100,NA,373,77830
"502","New Haven, Connecticut",1888,6149,4416,413,0,NA,113,NA,3649,81412
"503","Lowell, Massachusetts",1888,4150,3069,99,1,NA,83,76,5264,74051
"504","New York, New York",1889,82200,47614,6314,113,NA,3398,3085,147634,1484400
"505","Philadelphia, Pennsylvania",1889,42673,27644,2801,24,NA,1712,1425,12507,1026985
"506","Brooklyn, New York",1889,34631,19317,NA,NA,NA,1160,NA,17786,782375
"507","Chicago, Illinois",1889,48119,27536,1128,28,16006,1624,NA,30925,1040184
"508","Boston, Massachusetts",1889,40066,25418,2436,24,NA,951,679,NA,439913
"509","St. Louis, Missouri",1889,17987,8461,575,19,NA,593,440,5705,441646
"510","Baltimore, Maryland",1889,31420,NA,NA,NA,NA,800,620,NA,424226
"511","Cincinnati, Ohio",1889,19080,4169,5545,17,NA,477,359,6197,292731
"512","San Francisco, California",1889,23462,11684,843,58,10033,406,NA,NA,292493
"513","New Orleans, Louisiana",1889,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Cleveland, Ohio",1889,10377,6543,266,15,827,316,248,NA,251232
"515","Buffalo, New York",1889,16170,8458,3640,9,976,346,207,3416,245611
"516","Washington, DC",1889,21150,6982,2758,17,6751,320,285,4760,189768
"517","Newark, New Jersey",1889,7008,4406,574,2,2247,227,180,NA,176578
"518","Louisville, Kentucky",1889,6964,NA,NA,NA,NA,214,NA,NA,157391
"519","Detroit, Michigan",1889,8746,5238,NA,NA,NA,330,NA,NA,196922
"520","Milwaukee, Wisconsin",1889,4624,3211,167,1,566,187,NA,5549,195579
"521","Providence, Rhode Island",1889,6446,4735,267,0,1582,204,156,3506,129417
"522","Rochester, New York",1889,NA,NA,NA,NA,NA,NA,NA,NA,129443
"523","Pittsburgh, Pennsylvania",1889,14299,10675,2371,5,3798,276,NA,NA,230394
"524","Richmond, Virginia",1889,6901,2371,282,6,NA,100,NA,NA,79609
"525","New Haven, Connecticut",1889,6191,4512,391,1,NA,117,82,NA,83729
"526","Lowell, Massachusetts",1889,4557,2780,129,1,NA,83,76,4781,75873
"527","New York, New York",1890,84556,48144,5774,107,NA,3502,3190,149853,1515301
"528","Philadelphia, Pennsylvania",1890,49148,33154,3311,19,NA,1792,1527,12096,1046964
"529","Brooklyn, New York",1890,38314,22547,1921,71,7814,1251,1030,12183,806343
"530","Chicago, Illinois",1890,62230,37063,1645,21,24004,1900,NA,29402,1099850
"531","Boston, Massachusetts",1890,37492,NA,NA,NA,NA,956,679,NA,448477
"532","St. Louis, Missouri",1890,19724,9207,565,25,NA,709,535,4093,451770
"533","Baltimore, Maryland",1890,30730,NA,NA,NA,NA,805,620,NA,434439
"534","Cincinnati, Ohio",1890,19849,4297,5284,28,NA,489,358,7835,296908
"535","San Francisco, California",1890,23549,12773,905,59,9951,406,NA,NA,298997
"536","New Orleans, Louisiana",1890,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","Cleveland, Ohio",1890,9616,5727,230,9,762,306,244,5272,261353
"538","Buffalo, New York",1890,17628,9594,3170,14,741,401,244,2796,255664
"539","Washington, DC",1890,24372,8590,2968,13,7410,376,335,5321,188932
"540","Newark, New Jersey",1890,7041,4559,477,4,2368,255,195,NA,181030
"541","Louisville, Kentucky",1890,6621,3900,358,34,NA,208,170,NA,161129
"542","Detroit, Michigan",1890,8693,5519,NA,NA,NA,350,NA,NA,205876
"543","Milwaukee, Wisconsin",1890,5445,3819,995,6,476,196,165,3588,204468
"544","Providence, Rhode Island",1890,6590,4996,244,2,1773,204,169,NA,132146
"545","Rochester, New York",1890,NA,NA,NA,NA,NA,NA,NA,NA,133896
"546","Pittsburgh, Pennsylvania",1890,19906,14232,2350,4,NA,290,NA,NA,238617
"547","Richmond, Virginia",1890,6570,2544,357,6,NA,100,NA,NA,81388
"548","New Haven, Connecticut",1890,5869,4452,373,0,NA,126,90,NA,86045
"549","Lowell, Massachusetts",1890,3846,2650,96,1,NA,81,76,5040,77696
"550","New York, New York",1891,90124,52335,6275,122,NA,3623,3218,147622,1568830
"551","Philadelphia, Pennsylvania",1891,53184,33989,4206,30,NA,1898,1527,13600,1071637
"552","Brooklyn, New York",1891,37319,22375,2003,48,NA,1319,1068,8951,842637
"553","Chicago, Illinois",1891,70550,41463,1406,34,32500,2306,NA,55565,1159722
"554","Boston, Massachusetts",1891,41132,28044,2013,3,13663,961,679,NA,459718
"555","St. Louis, Missouri",1891,20729,9650,489,29,NA,707,525,4936,464117
"556","Baltimore, Maryland",1891,30215,NA,NA,NA,NA,805,620,NA,441891
"557","Cincinnati, Ohio",1891,18632,4861,3932,38,NA,469,356,7400,299807
"558","San Francisco, California",1891,24528,14077,1407,42,10258,406,NA,NA,303376
"559","New Orleans, Louisiana",1891,22449,6880,NA,48,NA,330,223,976,246546
"560","Cleveland, Ohio",1891,11133,6599,234,15,1050,290,230,NA,273394
"561","Buffalo, New York",1891,NA,NA,NA,NA,NA,NA,NA,NA,265336
"562","Washington, DC",1891,25166,8934,2761,7,8581,408,365,5099,197911
"563","Newark, New Jersey",1891,7470,4415,590,7,2443,261,193,NA,187534
"564","Louisville, Kentucky",1891,6938,3945,465,16,NA,205,153,NA,165489
"565","Detroit, Michigan",1891,8720,4478,NA,NA,NA,370,NA,NA,213859
"566","Milwaukee, Wisconsin",1891,5615,3934,751,4,383,204,174,3923,212553
"567","Providence, Rhode Island",1891,6900,5173,398,1,2042,218,169,3000,136491
"568","Rochester, New York",1891,NA,NA,NA,NA,NA,NA,NA,NA,136767
"569","Pittsburgh, Pennsylvania",1891,21801,9889,1901,5,5630,311,165,NA,246847
"570","Richmond, Virginia",1891,6810,2087,571,5,NA,100,NA,NA,81754
"571","New Haven, Connecticut",1891,6000,4376,164,5,NA,126,89,NA,88243
"572","Lowell, Massachusetts",1891,5357,4086,85,1,NA,84,75,4827,79423
"573","New York, New York",1892,84498,50089,4058,116,NA,3731,3387,137436,1622360
"574","Philadelphia, Pennsylvania",1892,52944,34764,3617,22,NA,2027,1543,11884,1096311
"575","Brooklyn, New York",1892,39856,NA,NA,NA,NA,1350,NA,7924,878391
"576","Chicago, Illinois",1892,89833,51578,1972,26,41919,2726,1919,77085,1219595
"577","Boston, Massachusetts",1892,48463,34477,2185,29,27295,1000,679,NA,470960
"578","St. Louis, Missouri",1892,22935,9826,918,27,NA,724,635,12801,476464
"579","Baltimore, Maryland",1892,31781,17544,835,41,6562,818,625,25132,449343
"580","Cincinnati, Ohio",1892,20674,4862,4275,41,NA,480,355,6475,302707
"581","San Francisco, California",1892,29259,16693,1952,29,11112,406,NA,384,307754
"582","New Orleans, Louisiana",1892,21822,8812,NA,51,NA,313,200,639,251052
"583","Cleveland, Ohio",1892,10717,6892,274,10,887,315,252,3415,285436
"584","Buffalo, New York",1892,NA,NA,NA,NA,NA,NA,NA,NA,275009
"585","Washington, DC",1892,26666,6852,3102,11,7457,418,375,7728,206889
"586","Newark, New Jersey",1892,7040,2247,508,4,2134,278,193,NA,194038
"587","Louisville, Kentucky",1892,7133,4318,544,41,NA,245,NA,NA,170849
"588","Detroit, Michigan",1892,7769,4101,769,6,1357,385,215,NA,221842
"589","Milwaukee, Wisconsin",1892,6610,4704,546,5,485,272,225,3650,220637
"590","Providence, Rhode Island",1892,6812,4984,412,4,2328,218,170,3265,140836
"591","Rochester, New York",1892,NA,NA,NA,NA,NA,NA,NA,NA,139638
"592","Pittsburgh, Pennsylvania",1892,16340,NA,NA,4,4934,311,165,2623,255077
"593","Richmond, Virginia",1892,6540,2791,658,8,NA,100,NA,NA,82120
"594","New Haven, Connecticut",1892,6285,4697,289,5,NA,140,100,NA,90441
"595","Lowell, Massachusetts",1892,6153,4659,114,5,NA,93,NA,5015,81151
"596","New York, New York",1893,86488,48542,7168,128,NA,3842,3503,127503,1675890
"597","Philadelphia, Pennsylvania",1893,57297,37101,4431,28,NA,2167,1704,20521,1120984
"598","Brooklyn, New York",1893,40349,NA,NA,NA,NA,1380,NA,3779,914415
"599","Chicago, Illinois",1893,96976,NA,NA,48,47220,3189,NA,88138,1279468
"600","Boston, Massachusetts",1893,46109,30973,2721,29,19368,1005,679,NA,482202
"601","St. Louis, Missouri",1893,25280,10517,442,35,NA,NA,635,15574,488810
"602","Baltimore, Maryland",1893,31363,17076,877,31,7168,818,625,39976,456794
"603","Cincinnati, Ohio",1893,20708,4372,3891,24,NA,481,356,5308,305606
"604","San Francisco, California",1893,26982,16029,2004,41,10834,456,NA,383,312133
"605","New Orleans, Louisiana",1893,23228,8770,NA,60,NA,353,234,1053,255558
"606","Cleveland, Ohio",1893,9368,5701,250,13,983,312,250,NA,297478
"607","Buffalo, New York",1893,NA,NA,NA,NA,NA,NA,NA,NA,284681
"608","Washington, DC",1893,27245,11254,3194,19,7309,433,390,4596,215686
"609","Newark, New Jersey",1893,6605,3487,551,13,2579,303,228,NA,200542
"610","Louisville, Kentucky",1893,7079,4168,369,22,NA,245,NA,NA,175209
"611","Detroit, Michigan",1893,8586,4513,958,7,NA,425,347,NA,229824
"612","Milwaukee, Wisconsin",1893,6219,4477,760,0,495,272,225,4000,228722
"613","Providence, Rhode Island",1893,7105,5024,443,1,3310,250,201,3416,145181
"614","Rochester, New York",1893,NA,NA,NA,NA,NA,NA,NA,NA,142510
"615","Pittsburgh, Pennsylvania",1893,15189,NA,NA,1,5383,374,217,NA,263307
"616","Richmond, Virginia",1893,6070,2391,349,4,NA,100,NA,NA,82486
"617","New Haven, Connecticut",1893,6541,4770,220,2,NA,154,110,NA,92640
"618","Lowell, Massachusetts",1893,5635,4150,107,1,NA,100,NA,6891,82878
"619","New York, New York",1894,98296,52714,8127,133,NA,3839,3531,68025,1725420
"620","Philadelphia, Pennsylvania",1894,61478,38119,6049,28,NA,2239,1750,43726,1145657
"621","Brooklyn, New York",1894,43275,24102,2825,82,7692,1416,1225,5555,950439
"622","Chicago, Illinois",1894,88323,49072,1256,46,45995,3188,NA,133006,1339340
"623","Boston, Massachusetts",1894,42035,25951,2489,13,2788,1010,679,NA,493443
"624","St. Louis, Missouri",1894,25033,9540,653,43,NA,NA,635,44679,501157
"625","Baltimore, Maryland",1894,32136,NA,NA,NA,NA,830,625,NA,464246
"626","Cincinnati, Ohio",1894,20314,4761,4259,18,NA,483,356,9662,308506
"627","San Francisco, California",1894,25824,15226,2190,53,10947,456,NA,NA,316511
"628","New Orleans, Louisiana",1894,25819,NA,NA,NA,NA,NA,NA,NA,260065
"629","Cleveland, Ohio",1894,9751,4734,401,21,1098,317,251,NA,309519
"630","Buffalo, New York",1894,NA,NA,NA,NA,NA,NA,NA,NA,294353
"631","Washington, DC",1894,24323,9419,3384,13,8117,433,390,3204,224846
"632","Newark, New Jersey",1894,6969,3648,651,20,3085,319,246,NA,207246
"633","Louisville, Kentucky",1894,8390,4780,915,29,NA,258,192,NA,179569
"634","Detroit, Michigan",1894,11762,6571,NA,NA,NA,450,NA,NA,237807
"635","Milwaukee, Wisconsin",1894,5943,3995,855,12,NA,263,230,6450,236807
"636","Providence, Rhode Island",1894,6548,4789,229,2,3523,250,201,7929,149526
"637","Rochester, New York",1894,NA,NA,NA,NA,NA,NA,NA,NA,145381
"638","Pittsburgh, Pennsylvania",1894,13762,8846,2788,15,5409,380,218,NA,271537
"639","Richmond, Virginia",1894,5964,2184,412,18,NA,100,NA,NA,82852
"640","New Haven, Connecticut",1894,6314,3270,178,1,NA,160,114,NA,94838
"641","Lowell, Massachusetts",1894,4831,NA,NA,NA,NA,10,NA,NA,84605
"642","New York, New York",1895,112997,57780,9052,223,NA,3825,3524,65556,1782950
"643","Philadelphia, Pennsylvania",1895,60347,36625,5976,39,NA,2451,1794,45788,1170330
"644","Brooklyn, New York",1895,44917,NA,NA,NA,NA,1745,NA,4894,986463
"645","Chicago, Illinois",1895,83464,44450,1197,63,49087,2850,NA,130481,1399212
"646","Boston, Massachusetts",1895,42534,27048,2593,37,2799,1162,865,NA,504684
"647","St. Louis, Missouri",1895,24793,9407,766,30,NA,NA,635,44460,513504
"648","Baltimore, Maryland",1895,30193,NA,NA,NA,NA,830,625,NA,471698
"649","Cincinnati, Ohio",1895,18606,4177,4012,33,NA,493,358,11942,311405
"650","San Francisco, California",1895,25960,14353,2269,43,NA,482,NA,1992,320890
"651","New Orleans, Louisiana",1895,22641,NA,NA,NA,NA,NA,NA,NA,264572
"652","Cleveland, Ohio",1895,11006,5805,358,12,1106,333,252,NA,321560
"653","Buffalo, New York",1895,NA,NA,NA,NA,NA,NA,NA,NA,304026
"654","Washington, DC",1895,23104,8114,3172,10,6470,475,430,4444,233825
"655","Newark, New Jersey",1895,7174,4159,702,11,2555,322,224,NA,213550
"656","Louisville, Kentucky",1895,6111,4339,713,18,NA,244,176,NA,183929
"657","Detroit, Michigan",1895,8102,4803,863,9,1235,477,390,NA,245790
"658","Milwaukee, Wisconsin",1895,5582,3942,720,6,437,308,273,6844,244892
"659","Providence, Rhode Island",1895,7117,5071,613,1,NA,275,209,3538,149971
"660","Rochester, New York",1895,NA,NA,NA,NA,NA,NA,NA,NA,148252
"661","Pittsburgh, Pennsylvania",1895,14737,9747,2670,6,6090,393,233,19114,279767
"662","Richmond, Virginia",1895,5412,1956,333,0,NA,100,NA,NA,83218
"663","New Haven, Connecticut",1895,6202,4288,212,3,NA,155,114,NA,97036
"664","Lowell, Massachusetts",1895,5879,4148,138,1,NA,114,94,6123,86332
"665","New York, New York",1896,110979,57692,10047,NA,NA,3825,NA,NA,1836480
"666","Philadelphia, Pennsylvania",1896,58072,32987,7414,49,NA,2458,1797,49438,1195004
"667","Brooklyn, New York",1896,38692,25527,2669,NA,9670,1751,1342,4869,1022487
"668","Chicago, Illinois",1896,96847,50641,1988,35,59365,3033,NA,176980,1459085
"669","Boston, Massachusetts",1896,48796,32286,2694,26,2953,1181,880,NA,515926
"670","St. Louis, Missouri",1896,27695,9838,2073,57,NA,NA,685,41545,525851
"671","Baltimore, Maryland",1896,31248,NA,NA,NA,NA,832,625,NA,479150
"672","Cincinnati, Ohio",1896,16480,3548,3910,27,NA,495,356,21281,314304
"673","San Francisco, California",1896,30462,14792,2660,49,NA,557,NA,834,325268
"674","New Orleans, Louisiana",1896,24261,NA,NA,NA,NA,NA,NA,NA,269078
"675","Cleveland, Ohio",1896,10717,6906,561,27,1603,347,273,NA,333602
"676","Buffalo, New York",1896,NA,12700,NA,NA,990,NA,NA,NA,313698
